game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,map_mines_count,name,param1
0,Futurer,7048,0,4,4,randomMedium.json,187,97,4,7227eb5dcfbe415e9a7728411580d95f,1.9713685156955942
0,LochKillerAi,3775,1,3,4,randomMedium.json,187,97,4,LochKillerAi,NA
0,LochKillerAi,2353,3,1,4,randomMedium.json,187,97,4,LochKillerAi,NA
0,ConnectClosestMinesAi,2944,2,2,4,randomMedium.json,187,97,4,ConnectClosestMinesAi,NA
1,LochKillerAi,25,1,1,2,sample.json,12,8,2,LochKillerAi,NA
1,Futurer,27,0,2,2,sample.json,12,8,2,8459918ba44247c0a9990417faa2b9d6,1.6412709842705626
2,ConnectClosestMinesAi,25,0,2,2,sample.json,12,8,2,ConnectClosestMinesAi,NA
2,Futurer,25,1,1,2,sample.json,12,8,2,8589387ad3374698b3a534f20bd967c8,1.2783177021733902
3,LochKillerAi,13324,5,3,8,boston-sparse.json,945,488,8,LochKillerAi,NA
3,ConnectClosestMinesAi,47805,1,7,8,boston-sparse.json,945,488,8,ConnectClosestMinesAi,NA
3,LochKillerAi,13050,7,1,8,boston-sparse.json,945,488,8,LochKillerAi,NA
3,LochKillerAi,10768,6,2,8,boston-sparse.json,945,488,8,LochKillerAi,NA
3,LochKillerAi,16835,4,4,8,boston-sparse.json,945,488,8,LochKillerAi,NA
3,Futurer,72627,0,8,8,boston-sparse.json,945,488,8,431cc35435644cb3a67cf799c0127bbb,1.4653627741370043
3,ConnectClosestMinesAi,19366,2,6,8,boston-sparse.json,945,488,8,ConnectClosestMinesAi,NA
3,ConnectClosestMinesAi,23136,3,5,8,boston-sparse.json,945,488,8,ConnectClosestMinesAi,NA
4,LochKillerAi,1329,0,3,3,Sierpinski-triangle.json,81,42,3,LochKillerAi,NA
4,LochKillerAi,807,2,1,3,Sierpinski-triangle.json,81,42,3,LochKillerAi,NA
4,Futurer,1015,1,2,3,Sierpinski-triangle.json,81,42,3,8459918ba44247c0a9990417faa2b9d6,1.6412709842705626
5,ConnectClosestMinesAi,1568,3,1,4,randomSparse.json,123,86,4,ConnectClosestMinesAi,NA
5,LochKillerAi,796,0,4,4,randomSparse.json,123,86,4,LochKillerAi,NA
5,LochKillerAi,1114,2,2,4,randomSparse.json,123,86,4,LochKillerAi,NA
5,Futurer,2016,1,3,4,randomSparse.json,123,86,4,8aa2c0d775944eac8262b16c7fc88611,0.6475353243675469
6,Futurer,27,0,2,2,sample.json,12,8,2,3bc889e64e3c423a89c4cb958098ebfd,0.37056596377283985
6,LochKillerAi,25,1,1,2,sample.json,12,8,2,LochKillerAi,NA
7,Futurer,27,0,2,2,sample.json,12,8,2,8459918ba44247c0a9990417faa2b9d6,1.6412709842705626
7,LochKillerAi,25,1,1,2,sample.json,12,8,2,LochKillerAi,NA
8,LochKillerAi,1329,0,3,3,Sierpinski-triangle.json,81,42,3,LochKillerAi,NA
8,LochKillerAi,807,2,1,3,Sierpinski-triangle.json,81,42,3,LochKillerAi,NA
8,Futurer,1015,1,2,3,Sierpinski-triangle.json,81,42,3,fccb59eb7ba34b69946c86c2614b2423,1.4220741759305093
9,Futurer,25,0,2,2,sample.json,12,8,2,ddd701ad0fb541acb536083b75bfc452,0.7258233705463151
9,ConnectClosestMinesAi,25,1,1,2,sample.json,12,8,2,ConnectClosestMinesAi,NA
10,Futurer,25,0,2,2,sample.json,12,8,2,8459918ba44247c0a9990417faa2b9d6,1.6412709842705626
10,ConnectClosestMinesAi,25,1,1,2,sample.json,12,8,2,ConnectClosestMinesAi,NA
11,LochKillerAi,1396,2,1,3,Sierpinski-triangle.json,81,42,3,LochKillerAi,NA
11,Futurer,1342,0,3,3,Sierpinski-triangle.json,81,42,3,8459918ba44247c0a9990417faa2b9d6,1.6412709842705626
11,LochKillerAi,1446,1,2,3,Sierpinski-triangle.json,81,42,3,LochKillerAi,NA
12,Futurer,1438,0,3,3,Sierpinski-triangle.json,81,42,3,fccb59eb7ba34b69946c86c2614b2423,1.4220741759305093
12,ConnectClosestMinesAi,1382,2,1,3,Sierpinski-triangle.json,81,42,3,ConnectClosestMinesAi,NA
12,LochKillerAi,1436,1,2,3,Sierpinski-triangle.json,81,42,3,LochKillerAi,NA
13,Futurer,25,0,2,2,sample.json,12,8,2,a99e2bc2607541d09461ff01a7f107da,1.7667594656482635
13,ConnectClosestMinesAi,25,1,1,2,sample.json,12,8,2,ConnectClosestMinesAi,NA
14,Futurer,6536,0,4,4,randomMedium.json,187,97,4,8aa2c0d775944eac8262b16c7fc88611,0.6475353243675469
14,ConnectClosestMinesAi,6095,1,3,4,randomMedium.json,187,97,4,ConnectClosestMinesAi,NA
14,LochKillerAi,1132,3,1,4,randomMedium.json,187,97,4,LochKillerAi,NA
14,ConnectClosestMinesAi,3712,2,2,4,randomMedium.json,187,97,4,ConnectClosestMinesAi,NA
15,Futurer,25,0,2,2,sample.json,12,8,2,8459918ba44247c0a9990417faa2b9d6,1.6412709842705626
15,ConnectClosestMinesAi,25,1,1,2,sample.json,12,8,2,ConnectClosestMinesAi,NA
16,ConnectClosestMinesAi,25,0,2,2,sample.json,12,8,2,ConnectClosestMinesAi,NA
16,Futurer,25,1,1,2,sample.json,12,8,2,a99e2bc2607541d09461ff01a7f107da,1.7667594656482635
17,ConnectClosestMinesAi,25,0,2,2,sample.json,12,8,2,ConnectClosestMinesAi,NA
