game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,name,Age
0,MaxReachableVertexWeightAi,33478,1,15,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,ConnectClosestMinesAi,69171,11,5,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,MaxReachableVertexWeightAi,28012,9,7,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,ConnectClosestMinesAi,33157,0,16,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,LochKillerAi,11647,3,13,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,ConnectClosestMinesAi,19937,7,9,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,ConnectClosestMinesAi,30618,6,10,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,MaxReachableVertexWeightAi,32136,2,14,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,MaxReachableVertexWeightAi,26498,8,8,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,MaxReachableVertexWeightAi,50776,14,2,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,ConnectClosestMinesAi,21908,10,6,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,MaxReachableVertexWeightAi,61754,5,11,16,gothenburg-sparse.json,2234,1175,Age0,0.0
0,LochKillerAi,12503,12,4,16,gothenburg-sparse.json,2234,1175,Age1,1.0
0,ConnectClosestMinesAi,2802,4,12,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,ConnectClosestMinesAi,24723,15,1,16,gothenburg-sparse.json,2234,1175,Age2,2.0
0,ConnectClosestMinesAi,4896,13,3,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,LochKillerAi,17419,12,4,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,ConnectClosestMinesAi,35765,4,12,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,ConnectClosestMinesAi,9228,13,3,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,ConnectClosestMinesAi,30437,1,15,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,LochKillerAi,54602,3,13,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,MaxReachableVertexWeightAi,29397,5,11,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,MaxReachableVertexWeightAi,28722,6,10,16,gothenburg-sparse.json,2234,1175,Age0,0.0
1,ConnectClosestMinesAi,26951,7,9,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,LochKillerAi,8818,10,6,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,ConnectClosestMinesAi,15259,0,16,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,ConnectClosestMinesAi,19257,15,1,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,LochKillerAi,6812,9,7,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,LochKillerAi,56767,2,14,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,ConnectClosestMinesAi,41444,8,8,16,gothenburg-sparse.json,2234,1175,Age2,2.0
1,LochKillerAi,6139,11,5,16,gothenburg-sparse.json,2234,1175,Age1,1.0
1,LochKillerAi,16341,14,2,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,ConnectClosestMinesAi,21710,11,5,16,gothenburg-sparse.json,2234,1175,Age2,2.0
2,LochKillerAi,15044,13,3,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,LochKillerAi,32865,15,1,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,MaxReachableVertexWeightAi,41292,3,13,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,LochKillerAi,11460,6,10,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,LochKillerAi,25615,2,14,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,MaxReachableVertexWeightAi,37880,14,2,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,MaxReachableVertexWeightAi,26181,7,9,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,MaxReachableVertexWeightAi,24902,5,11,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,LochKillerAi,11947,8,8,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,LochKillerAi,13285,0,16,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,MaxReachableVertexWeightAi,57283,1,15,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,LochKillerAi,5020,10,6,16,gothenburg-sparse.json,2234,1175,Age1,1.0
2,MaxReachableVertexWeightAi,55656,9,7,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,MaxReachableVertexWeightAi,27464,4,12,16,gothenburg-sparse.json,2234,1175,Age0,0.0
2,MaxReachableVertexWeightAi,42487,12,4,16,gothenburg-sparse.json,2234,1175,Age0,0.0
3,ConnectClosestMinesAi,172068,0,12,12,gothenburg-sparse.json,2234,1175,Age2,2.0
3,ConnectClosestMinesAi,85648,2,10,12,gothenburg-sparse.json,2234,1175,Age2,2.0
3,LochKillerAi,136598,1,11,12,gothenburg-sparse.json,2234,1175,Age1,1.0
3,MaxReachableVertexWeightAi,41748,10,2,12,gothenburg-sparse.json,2234,1175,Age0,0.0
3,ConnectClosestMinesAi,49652,4,8,12,gothenburg-sparse.json,2234,1175,Age2,2.0
3,ConnectClosestMinesAi,48847,5,7,12,gothenburg-sparse.json,2234,1175,Age2,2.0
3,MaxReachableVertexWeightAi,35699,3,9,12,gothenburg-sparse.json,2234,1175,Age0,0.0
3,MaxReachableVertexWeightAi,29791,11,1,12,gothenburg-sparse.json,2234,1175,Age0,0.0
3,ConnectClosestMinesAi,26541,6,6,12,gothenburg-sparse.json,2234,1175,Age2,2.0
3,ConnectClosestMinesAi,26054,7,5,12,gothenburg-sparse.json,2234,1175,Age2,2.0
3,ConnectClosestMinesAi,51662,8,4,12,gothenburg-sparse.json,2234,1175,Age2,2.0
3,MaxReachableVertexWeightAi,38653,9,3,12,gothenburg-sparse.json,2234,1175,Age0,0.0
4,MaxReachableVertexWeightAi,38206,2,14,16,gothenburg-sparse.json,2234,1175,Age0,0.0
4,LochKillerAi,10524,14,2,16,gothenburg-sparse.json,2234,1175,Age1,1.0
4,LochKillerAi,72748,5,11,16,gothenburg-sparse.json,2234,1175,Age1,1.0
4,LochKillerAi,25074,0,16,16,gothenburg-sparse.json,2234,1175,Age1,1.0
4,LochKillerAi,34854,4,12,16,gothenburg-sparse.json,2234,1175,Age1,1.0
4,MaxReachableVertexWeightAi,38992,15,1,16,gothenburg-sparse.json,2234,1175,Age0,0.0
4,ConnectClosestMinesAi,13974,11,5,16,gothenburg-sparse.json,2234,1175,Age2,2.0
4,LochKillerAi,14385,3,13,16,gothenburg-sparse.json,2234,1175,Age1,1.0
4,LochKillerAi,12574,10,6,16,gothenburg-sparse.json,2234,1175,Age1,1.0
4,LochKillerAi,19534,12,4,16,gothenburg-sparse.json,2234,1175,Age1,1.0
4,LochKillerAi,22852,9,7,16,gothenburg-sparse.json,2234,1175,Age1,1.0
4,MaxReachableVertexWeightAi,30878,7,9,16,gothenburg-sparse.json,2234,1175,Age0,0.0
4,MaxReachableVertexWeightAi,22208,6,10,16,gothenburg-sparse.json,2234,1175,Age0,0.0
4,ConnectClosestMinesAi,9893,8,8,16,gothenburg-sparse.json,2234,1175,Age2,2.0
4,MaxReachableVertexWeightAi,56259,1,15,16,gothenburg-sparse.json,2234,1175,Age0,0.0
4,ConnectClosestMinesAi,33373,13,3,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,ConnectClosestMinesAi,21560,5,11,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,ConnectClosestMinesAi,11029,2,14,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,ConnectClosestMinesAi,28965,7,9,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,LochKillerAi,18562,4,12,16,gothenburg-sparse.json,2234,1175,Age1,1.0
5,MaxReachableVertexWeightAi,27109,6,10,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,LochKillerAi,53047,11,5,16,gothenburg-sparse.json,2234,1175,Age1,1.0
5,ConnectClosestMinesAi,26057,10,6,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,MaxReachableVertexWeightAi,28515,0,16,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,LochKillerAi,7812,13,3,16,gothenburg-sparse.json,2234,1175,Age1,1.0
5,ConnectClosestMinesAi,17677,3,13,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,MaxReachableVertexWeightAi,23751,9,7,16,gothenburg-sparse.json,2234,1175,Age0,0.0
5,ConnectClosestMinesAi,24940,14,2,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,ConnectClosestMinesAi,8573,15,1,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,ConnectClosestMinesAi,20592,1,15,16,gothenburg-sparse.json,2234,1175,Age2,2.0
5,LochKillerAi,15273,12,4,16,gothenburg-sparse.json,2234,1175,Age1,1.0
5,ConnectClosestMinesAi,13120,8,8,16,gothenburg-sparse.json,2234,1175,Age2,2.0
6,MaxReachableVertexWeightAi,45169,8,4,12,gothenburg-sparse.json,2234,1175,Age0,0.0
6,MaxReachableVertexWeightAi,29503,7,5,12,gothenburg-sparse.json,2234,1175,Age0,0.0
6,ConnectClosestMinesAi,47791,3,9,12,gothenburg-sparse.json,2234,1175,Age2,2.0
6,ConnectClosestMinesAi,52572,6,6,12,gothenburg-sparse.json,2234,1175,Age2,2.0
6,ConnectClosestMinesAi,47477,2,10,12,gothenburg-sparse.json,2234,1175,Age2,2.0
6,MaxReachableVertexWeightAi,44688,4,8,12,gothenburg-sparse.json,2234,1175,Age0,0.0
6,MaxReachableVertexWeightAi,48952,0,12,12,gothenburg-sparse.json,2234,1175,Age0,0.0
6,MaxReachableVertexWeightAi,70139,5,7,12,gothenburg-sparse.json,2234,1175,Age0,0.0
6,MaxReachableVertexWeightAi,77160,10,2,12,gothenburg-sparse.json,2234,1175,Age0,0.0
6,ConnectClosestMinesAi,30882,9,3,12,gothenburg-sparse.json,2234,1175,Age2,2.0
6,LochKillerAi,44498,1,11,12,gothenburg-sparse.json,2234,1175,Age1,1.0
6,LochKillerAi,16017,11,1,12,gothenburg-sparse.json,2234,1175,Age1,1.0
7,LochKillerAi,37412,11,5,16,gothenburg-sparse.json,2234,1175,Age1,1.0
7,MaxReachableVertexWeightAi,43845,10,6,16,gothenburg-sparse.json,2234,1175,Age0,0.0
7,MaxReachableVertexWeightAi,34784,1,15,16,gothenburg-sparse.json,2234,1175,Age0,0.0
7,MaxReachableVertexWeightAi,34361,0,16,16,gothenburg-sparse.json,2234,1175,Age0,0.0
7,ConnectClosestMinesAi,36368,4,12,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,LochKillerAi,10060,2,14,16,gothenburg-sparse.json,2234,1175,Age1,1.0
7,LochKillerAi,11902,3,13,16,gothenburg-sparse.json,2234,1175,Age1,1.0
7,LochKillerAi,31182,14,2,16,gothenburg-sparse.json,2234,1175,Age1,1.0
7,LochKillerAi,29150,7,9,16,gothenburg-sparse.json,2234,1175,Age1,1.0
7,ConnectClosestMinesAi,12805,8,8,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,MaxReachableVertexWeightAi,49110,9,7,16,gothenburg-sparse.json,2234,1175,Age0,0.0
7,MaxReachableVertexWeightAi,55865,13,3,16,gothenburg-sparse.json,2234,1175,Age0,0.0
7,ConnectClosestMinesAi,10330,6,10,16,gothenburg-sparse.json,2234,1175,Age2,2.0
7,LochKillerAi,12462,12,4,16,gothenburg-sparse.json,2234,1175,Age1,1.0
7,MaxReachableVertexWeightAi,32504,5,11,16,gothenburg-sparse.json,2234,1175,Age0,0.0
7,LochKillerAi,3057,15,1,16,gothenburg-sparse.json,2234,1175,Age1,1.0
8,MaxReachableVertexWeightAi,41338,7,5,12,gothenburg-sparse.json,2234,1175,Age0,0.0
8,MaxReachableVertexWeightAi,43457,11,1,12,gothenburg-sparse.json,2234,1175,Age0,0.0
8,MaxReachableVertexWeightAi,30699,4,8,12,gothenburg-sparse.json,2234,1175,Age0,0.0
8,ConnectClosestMinesAi,59495,3,9,12,gothenburg-sparse.json,2234,1175,Age2,2.0
8,ConnectClosestMinesAi,84709,6,6,12,gothenburg-sparse.json,2234,1175,Age2,2.0
8,MaxReachableVertexWeightAi,33900,1,11,12,gothenburg-sparse.json,2234,1175,Age0,0.0
8,ConnectClosestMinesAi,52658,0,12,12,gothenburg-sparse.json,2234,1175,Age2,2.0
8,LochKillerAi,147511,9,3,12,gothenburg-sparse.json,2234,1175,Age1,1.0
8,ConnectClosestMinesAi,29460,5,7,12,gothenburg-sparse.json,2234,1175,Age2,2.0
8,ConnectClosestMinesAi,35175,2,10,12,gothenburg-sparse.json,2234,1175,Age2,2.0
8,ConnectClosestMinesAi,27522,8,4,12,gothenburg-sparse.json,2234,1175,Age2,2.0
8,MaxReachableVertexWeightAi,85549,10,2,12,gothenburg-sparse.json,2234,1175,Age0,0.0
9,ConnectClosestMinesAi,30046,12,4,16,gothenburg-sparse.json,2234,1175,Age2,2.0
9,LochKillerAi,26662,2,14,16,gothenburg-sparse.json,2234,1175,Age1,1.0
9,MaxReachableVertexWeightAi,33189,10,6,16,gothenburg-sparse.json,2234,1175,Age0,0.0
9,ConnectClosestMinesAi,28420,0,16,16,gothenburg-sparse.json,2234,1175,Age2,2.0
9,LochKillerAi,17429,5,11,16,gothenburg-sparse.json,2234,1175,Age1,1.0
9,ConnectClosestMinesAi,29825,6,10,16,gothenburg-sparse.json,2234,1175,Age2,2.0
9,ConnectClosestMinesAi,29392,3,13,16,gothenburg-sparse.json,2234,1175,Age2,2.0
9,ConnectClosestMinesAi,20993,1,15,16,gothenburg-sparse.json,2234,1175,Age2,2.0
9,ConnectClosestMinesAi,16342,14,2,16,gothenburg-sparse.json,2234,1175,Age2,2.0
